service_id,date,exception_type
217_8__528___,2025-07-28,2
217_8__528___,2025-07-29,2
217_8__528___,2025-07-30,2
217_8__528___,2025-07-31,2
217_8__528___,2025-08-14,2
218_8__528___,2025-07-26,2
218_8__528___,2025-07-28,2
218_8__528___,2025-07-29,2
218_8__528___,2025-07-30,2
218_8__528___,2025-07-31,2
218_8__528___,2025-08-14,2
780_8__528___,2025-07-25,2
780_8__528___,2025-07-28,2
780_8__528___,2025-07-29,2
780_8__528___,2025-07-30,2
780_8__528___,2025-07-31,2
780_8__528___,2025-08-14,2
780_8__528___,2025-08-15,2
781_8__528___,2025-07-25,2
781_8__528___,2025-07-28,2
