shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
9__1__013__1_-_IT_1,40.0352073616168,-3.59257016221972,10000002,35.727769376543
9__1__013__1_-_IT_1,40.0351994458793,-3.59255145725181,10000003,35.749803628663
9__1__013__1_-_IT_1,40.0351909359142,-3.5925374285288,10000004,35.77336260522
9__1__013__1_-_IT_1,40.0351748881841,-3.59252891613175,10000005,35.798845162645
9__1__013__1_-_IT_1,40.0351609365053,-3.59253019136139,10000006,35.825880095557
9__1__013__1_-_IT_1,40.0350442537126,-3.59254067163526,10000007,35.86589699381
9__1__013__1_-_IT_1,40.0344944249631,-3.59259978039937,10000008,35.967149810034
9__1__013__1_-_IT_1,40.0339920877171,-3.59265962637078,10000009,36.124392543668
9__1__013__1_-_IT_1,40.0339920877171,-3.59265962637078,11000001,36.124392543668
9__1__013__1_-_IT_1,40.0327137621632,-3.59280067038417,11000002,36.266788875159
9__1__013__1_-_IT_1,40.0326815319865,-3.59281015929944,11000003,36.41285304323
9__1__013__1_-_IT_1,40.0326546129397,-3.59282793846388,11000004,36.56226809947
9__1__013__1_-_IT_1,40.0326255173044,-3.59285572574251,11000005,36.715689441303
9__1__013__1_-_IT_1,40.0325974497232,-3.5928903690716,11000006,36.873405232065
9__1__013__1_-_IT_1,40.0325725645353,-3.59293201837067,11000007,37.03562183433
9__1__013__1_-_IT_1,40.032550853695,-3.59298206831808,11000008,37.202741798439
9__1__013__1_-_IT_1,40.0325345426649,-3.59302518656574,11000009,37.37396202859
9__1__013__1_-_IT_1,40.0325139690694,-3.59306268653123,11000010,37.549113142221
9__1__013__1_-_IT_1,40.0324934168897,-3.59309600006928,11000011,37.727908820997
9__1__013__1_-_IT_1,40.032468609299,-3.59312229946738,11000012,37.910256531738
9__1__013__1_-_IT_1,40.0324145203375,-3.59315369211036,11000013,38.099178214332
9__1__013__1_-_IT_1,40.0324145203375,-3.59315369211036,12000001,38.099178214332
9__1__013__1_-_IT_1,40.0323125885464,-3.59318555044209,12000002,38.110814019525
9__1__013__1_-_IT_1,40.0322829325328,-3.5931907892863,12000003,38.125771685217
