stop_id,area_name,area_code
par_8_06729,Fuente del Fresno,Q20021411
par_8_06730,Fuente del Fresno,Q20021411
par_8_06731,Fuente del Fresno,Q20021411
par_8_06732,Fuente del Fresno,Q20021411
par_8_06733,Fuente del Fresno,Q20021411
par_8_06734,Fuente del Fresno,Q20021411
par_8_06735,Fuente del Fresno,Q20021411
par_8_06736,Arroyo de Paeque,Q23994209
par_8_06737,M-106,Q5988059
par_8_06738,Cobeña,Q659582
par_8_06739,Arroyo de la Cerrada,Q24002019
par_8_06740,Algete,Q472604
par_8_06741,iglesia de la Asunción de Nuestra Señora,Q5117768
par_8_06743,Biblioteca Municipal de Algete - Miguel de Cervantes,Q85696087
par_8_06744,Algete,Q472604
par_8_06745,Arroyo de la Cerrada,Q24002019
par_8_06746,M-106,Q5988059
par_8_06747,Arroyo de Paeque,Q23994209
par_8_06749,San Sebastián de los Reyes The Style Outlets,Q129030236
par_8_06750,San Sebastián de los Reyes The Style Outlets,Q129030236
par_8_06751,San Sebastián de los Reyes,Q484717
par_8_06752,Museo Bonsái Luis Vallejo,Q22127099
par_8_06753,Ermita de San Isidro (Villanueva de la Cañada),Q110147960
par_8_06755,Alcobendas,Q24012785
par_8_06756,Marqués de la Valdavia,Q3849824
par_8_06757,Biblioteca de los Laboratorios Lilly,Q85696037
par_8_06758,Parque de Cataluña,Q31919335
par_8_06759,Mediateca Municipal - Pablo Iglesias,Q85696054
par_8_06761,Biblioteca de los Laboratorios Lilly,Q85696037
par_8_06762,Ayuntamiento de Alcobendas,Q46358256
par_8_06763,Ayuntamiento de Alcobendas,Q46358256
par_8_06766,Mediateca Municipal - Pablo Iglesias,Q85696054
par_8_06767,Parque de Cataluña,Q31919335
par_8_06768,Marqués de la Valdavia,Q3849824
par_8_06769,Estación de Alcobendas-San Sebastián de los Reyes,Q1882520
par_8_06770,Mediateca Municipal - Pablo Iglesias,Q85696054
par_8_06771,Altos de Alcobendas,Q115499151
par_8_06772,Altos de Alcobendas,Q115499151
par_8_06773,Mediateca Municipal - Pablo Iglesias,Q85696054
par_8_06777,Liceo Francés Internacional Molière de Madrid,Q25057863
par_8_06778,Estación de Alcobendas-San Sebastián de los Reyes,Q1882520
par_8_06780,Mediateca Municipal - Centro de Arte,Q85696047
par_8_06782,Biblioteca Municipal - Plaza de La Iglesia,Q85699047
par_8_06787,Biblioteca Municipal - Plaza de La Iglesia,Q85699047
par_8_06788,Biblioteca Municipal - Plaza de La Iglesia,Q85699047
par_8_06790,Biblioteca Municipal - Plaza de La Iglesia,Q85699047
par_8_06791,Estación de Alcobendas-San Sebastián de los Reyes,Q1882520
par_8_06792,Estación de Alcobendas-San Sebastián de los Reyes,Q1882520
par_8_06794,Biblioteca Municipal Marcos Ana,Q85699053
par_8_06795,Biblioteca Municipal Marcos Ana,Q85699053
par_8_06796,Biblioteca Municipal Marcos Ana,Q85699053
par_8_06797,Biblioteca Municipal Marcos Ana,Q85699053
par_8_06803,La Granja,Q8779955
par_8_06804,Baunatal,Q3636954
par_8_06805,San Sebastián de los Reyes,Q24012689
