id,name,population
08035,Calella,19236
08037_AM,Calldetenes agregacion de municipios,4773
08038_AM,Callús agregacion de municipios,3593
08040,Canet de Mar,14810
08041,Canovelles,16872
08042,Cànoves i Samalús,3219
08043,Canyelles,4886
08044_AM,Capellades agregacion de municipios,6689
08046,Cardedeu,18609
08047_AM,Cardona agregacion de municipios,5207
08051,Castellar del Vallès,24659
08053,Castellbell i el Vilar,3853
08054,Castellbisbal,12610
08056,Castelldefels,67226
08064,Castellterçol,2632
08067,Centelles,7595
08068,Cervelló,9233
08069,Collbató,4655
08072,Corbera de Llobregat,15017
08073,Cornellà de Llobregat,89300
08074,Cubelles,16051
08075,Dosrius,5685
08076,Esparreguera,22358
08077,Esplugues de Llobregat,46777
08085_AM,Font-rubí agregacion de municipios,5039
08086,"Franqueses del Vallès, Les",20351
08088,"Garriga, La",16733
08089,GavÍ,46931
08091_AM,Gelida agregacion de municipios,9719
08092,Gironella,4916
08094_AM,"Granada, La agregacion de municipios",5290
08096,Granollers,62475
08097_AM,Gualba agregacion de municipios,3229
08098_AM,Sant Salvador de Guardiola agregacion de municipios,5422
08100,Gurb,2705
08101,"Hospitalet de Llobregat, L'",264657
08102,Igualada,40875
08105,"Llagosta, La",13259
08106,Llinars del Vallès,10116
08107,Lliçà d'Amunt,15673
08108,Lliçà de Vall,6580
08110,Malgrat de Mar,18950
08112,Manlleu,20804
08113,Manresa,78192
08114,Martorell,28667
08115_AM,Martorelles agregacion de municipios,5705
08117,"Masies de Voltregà, Les",3178
08118,"Masnou, El",23848
08119,Masquefa,9623
08120,Matadepera,9672
08121,Mataró,129120
08122_AM,Mediona agregacion de municipios,6307
08123,Molins de Rei,26104
08124,Mollet del Vallès,51151
08125,Montcada i Reixac,36794
08126,Montgat,12260
08127_AM,Monistrol de Montserrat agregacion de municipios,3449
08135,Montmeló,8798
08136,Montornès del Vallès,16804
08138,MoiÍ,6474
08140,Navarcles,6068
08141,Navàs,5973
08143,Òdena,3681
08145_AM,Olèrdola agregacion de municipios,6299
08147,Olesa de Montserrat,24132
08148,Olivella,4127
08149_AM,Olost agregacion de municipios,3125
08155,Palafolls,9646
08156,Palau-solità i Plegamans,14917
08157,PallejÍ,11636
08158,"Papiol, El",4232
08159,Parets del Vallès,18907
08161,Piera,16411
08162_AM,"Hostalets de Pierola, Els agregacion de municipios",5241
08163,Pineda de Mar,27974
08167,PolinyÍ,8494
08169,"Prat de Llobregat, El",65532
08170_AM,"Prats de Rei, Els agregacion de municipios",4015
08171,Prats de Lluçanès,2634
08172,Premià de Mar,28523
08175_AM,Puig-reig agregacion de municipios,5822
08180,Ripollet,39139
08181,"Roca del Vallès, La",10676
08182,"Pont de Vilomara i Rocafort, El",4016
08183,Roda de Ter,6449
08184,Rubí,78549
08187,Sabadell,216204
08191,Sallent,6717
08192,Santpedor,7566
08194,Sant Adrià de Besòs,37283
08196,Sant Andreu de la Barca,27175
08197,Sant Andreu de Llavaneres,11150
08198,Sant Antoni de Vilamajor,6383
08200,Sant Boi de Llobregat,83755
08202,Sant Celoni,18176
08203,Sant Cebrià de Vallalta,3570
08204,Sant Climent de Llobregat,4193
08205,Sant Cugat del Vallès,94012
08207,Sant Esteve de Palautordera,2997
08208_AM,Sant Esteve Sesrovires agregacion de municipios,10230
08209,Sant Fost de Campsentelles,8997
08210,Sant Feliu de Codines,6406
08211,Sant Feliu de Llobregat,45463
08213,Sant Fruitós de Bages,8936
08214,Vilassar de Dalt,9074
08215,Sant Hipòlit de VoltregÍ,3547
08217,Sant Joan Despí,34130
08218,Sant Joan de Vilatorrada,10871
08219,Vilassar de Mar,20936
08220_AM,Sant Julià de Vilatorta agregacion de municipios,5411
08221,Sant Just Desvern,19379
08223,Sant Llorenç Savall,2514
08224_AM,Sant Martí de Centelles agregacion de municipios,2638
08226_AM,Sant Martí de Tous agregacion de municipios,2916
08227_AM,Sant Martí Sarroca agregacion de municipios,4883
08230,Premià de Dalt,10419
08231,Sant Pere de Ribes,31525
08232_AM,Sant Pere de Riudebitlles agregacion de municipios,5146
08233_AM,Sant Pere de Torelló agregacion de municipios,6518
08234,Sant Pere de Vilamajor,4671
08235,Sant Pol de Mar,5538
08237_AM,Sant Quirze de Besora agregacion de municipios,5770
08238,Sant Quirze del Vallès,20156
08240,Sant Sadurní d'Anoia,12840
08244,Santa Coloma de Cervelló,8273
08245,Santa Coloma de Gramenet,119289
08247_AM,Santa Eulàlia de Riuprimer agregacion de municipios,2579
08248,Santa Eulàlia de Ronçana,7538
08250,Santa Margarida de Montbui,10192
08251,Santa Margarida i els Monjos,7664
08252,Barberà del Vallès,33016
08258_AM,Santa Maria d'Oló agregacion de municipios,2515
08259,Santa Maria de Palautordera,9666
08260,Santa Perpètua de Mogoda,26033
08261,Santa Susanna,3650
08262_AM,Sant Vicenç de Castellet agregacion de municipios,10736
08263,Sant Vicenç dels Horts,28115
08264,Sant Vicenç de Montalt,6523
08266,Cerdanyola del Vallès,57217
08267,Sentmenat,9347
08268_AM,Cercs agregacion de municipios,4886
08269,Seva,3696
08270,Sitges,30217
08273_AM,Subirats agregacion de municipios,5072
08274,Súria,5923
08278_AM,Taradell agregacion de municipios,6963
08279,Terrassa,223011
08281,TeiÍ,6532
08282,Tiana,9009
08283,Tona,8368
08284_AM,Tordera agregacion de municipios,19328
08285,Torelló,14553
08286_AM,"Torre de Claramunt, La agregacion de municipios",6059
08288_AM,Torrelles de Foix agregacion de municipios,4841
08289,Torrelles de Llobregat,6126
08291,Vacarisses,7082
08294_AM,Vallgorguina agregacion de municipios,5248
08295,Vallirana,15438
08296_AM,Vallromanes agregacion de municipios,3373
08298,Vic,47319
08300_AM,Viladecavalls agregacion de municipios,9717
08301,Viladecans,66707
08302,Vilanova del Camí,12736
08305,Vilafranca del Penedès,39969
08307,Vilanova i la Geltrú,67458
08902,Vilanova del Vallès,5535
08904,Badia del Vallès,13228
08905,"Palma de Cervelló, La",3015
09018,Aranda de Duero,33084
09048_AM,Belorado agregacion de municipios,5319
09056,Briviesca,6465
09059,Burgos,174051
09073_AM,Cardeñadijo agregacion de municipios,4711
09109_AM,Condado de Treviño agregacion de municipios,1929
09124_AM,Espinosa de los Monteros agregacion de municipios,2527
09141_AM,Fuentespina agregacion de municipios,6044
09174_AM,Huerta de Rey agregacion de municipios,5125
09177_AM,Ibeas de Juarros agregacion de municipios,3974
09194,Lerma,2609
09209_AM,Medina de Pomar agregacion de municipios,6747
09211_AM,Melgar de Fernamental agregacion de municipios,5401
09219,Miranda de Ebro,35528
09238_AM,Oña agregacion de municipios,5369
09289_AM,Quintanar de la Sierra agregacion de municipios,4762
09321_AM,Roa agregacion de municipios,5393
09330_AM,Salas de los Infantes agregacion de municipios,4897
09350_AM,Santa María del Campo agregacion de municipios,4874
09363_AM,Sasamón agregacion de municipios,4976
09390_AM,Torresandino agregacion de municipios,2804
09410,Valle de Mena,3987
09413_AM,Valle de Valdebezana agregacion de municipios,4589
09434_AM,Villagonzalo Pedernales agregacion de municipios,5550
09439_AM,Villalbilla de Burgos agregacion de municipios,4769
09903,Villarcayo de Merindad de Castilla la Vieja,4029
09907_AM,Alfoz de Quintanadueñas agregacion de municipios,6542
10004_AM,Acehúche agregacion de municipios,2712
10006_AM,Ahigal agregacion de municipios,5047
10010_AM,Alcuéscar agregacion de municipios,5663
10014_AM,Aldeanueva de la Vera agregacion de municipios,4744
10019_AM,Almaraz agregacion de municipios,5074
10020_AM,Almoharín agregacion de municipios,5056
10021,Arroyo de la Luz,5663
10032_AM,Brozas agregacion de municipios,6491
10035_AM,Cabezuela del Valle agregacion de municipios,5019
10037,Cáceres,95418
10049_AM,Casar de Cáceres agregacion de municipios,6471
10050_AM,Casar de Palomero agregacion de municipios,5009
10061_AM,Ceclavín agregacion de municipios,6061
10064_AM,Cilleros agregacion de municipios,6088
10067,Coria,12330
10087_AM,Guadalupe agregacion de municipios,4910
10089_AM,Guijo de Galisteo agregacion de municipios,5113
10096_AM,Hervás agregacion de municipios,5059
10104,Jaraíz de la Vera,6499
10105_AM,Jarandilla de la Vera agregacion de municipios,5093
10109_AM,Logrosán agregacion de municipios,6065
10110,Losar de la Vera,2658
10113_AM,Madroñera agregacion de municipios,4757
10115,Malpartida de Cáceres,4060
10116_AM,Malpartida de Plasencia agregacion de municipios,5178
10121,Miajadas,9503
10127,Montehermoso,5680
10128,Moraleja,6685
10131,Navalmoral de la Mata,17010
10140_AM,Peraleda de la Mata agregacion de municipios,6270
10146_AM,Pinofranqueado agregacion de municipios,4932
10147_AM,Piornal agregacion de municipios,5226
10148,Plasencia,39558
10175_AM,Serradilla agregacion de municipios,7010
10177_AM,Sierra de Fuentes agregacion de municipios,8209
10180_AM,Talayuela agregacion de municipios,9589
10184_AM,"Torno, El agregacion de municipios",4850
10186_AM,Torrecillas de la Tiesa agregacion de municipios,5133
10189,Torrejoncillo,2894
10195_AM,Trujillo agregacion de municipios,10258
10203,Valencia de Alcántara,5325
10205_AM,Valverde del Fresno agregacion de municipios,4806
10212_AM,Villanueva de la Vera agregacion de municipios,5414
10216_AM,Zarza de Granadilla agregacion de municipios,4968
11001,Alcalá de los Gazules,5245
11002,Alcalá del Valle,5031
11004,Algeciras,122982
11005_AM,Algodonales agregacion de municipios,7235
11006,Arcos de la Frontera,30902
11007,Barbate,22761
11008,"Barrios, Los",23983
11010,Bornos,7655
11011_AM,"Bosque, El agregacion de municipios",5412
11012,Cádiz,114244
11013,Castellar de la Frontera,3070
11014,Conil de la Frontera,23182
11015,Chiclana de la Frontera,86306
11016,Chipiona,19368
11017,Espera,3845
11020,Jerez de la Frontera,212801
11021,Jimena de la Frontera,6665
11022,"Línea de la Concepción, La",63365
11023,Medina Sidonia,11813
11024_AM,Olvera agregacion de municipios,8816
11025,Paterna de Rivera,5470
11026_AM,Prado del Rey agregacion de municipios,7046
11027,"Puerto de Santa María, El",89060
