id,name,wikidata_uri,population
07033,Manacor,https://www.wikidata.org/entity/Q49567,44809
07036,Marratxí,https://www.wikidata.org/entity/Q950940,38357
07037,Es Mercadal,https://www.wikidata.org/entity/Q945653,5444
07038_AM,Montuïri,https://www.wikidata.org/entity/Q983467,5272
07039,Muro,https://www.wikidata.org/entity/Q595424,7515
07040,Palma,https://www.wikidata.org/entity/Q8826,419366
07041_AM,Petra,https://www.wikidata.org/entity/Q611123,3925
07042,Pollença,https://www.wikidata.org/entity/Q601112,16969
07043,Porreres,https://www.wikidata.org/entity/Q925773,5624
07044,Sa Pobla,https://www.wikidata.org/entity/Q984493,13873
07045_AM,Puigpunyent,https://www.wikidata.org/entity/Q983625,5641
07046,Sant Antoni de Portmany,https://www.wikidata.org/entity/Q734805,27205
07047_AM,Sencelles,https://www.wikidata.org/entity/Q987394,5266
07048,Sant Josep de sa Talaia,https://www.wikidata.org/entity/Q983635,28299
07050,Sant Joan de Labritja,https://www.wikidata.org/entity/Q983628,6635
07051,Sant Llorenç des Cardassar,https://www.wikidata.org/entity/Q983463,8920
07052,Sant Lluís,https://www.wikidata.org/entity/Q984499,6877
07054,Santa Eulària des Riu,https://www.wikidata.org/entity/Q983465,40038
07055,Santa Margalida,https://www.wikidata.org/entity/Q984491,12767
07056,Santa Maria del Camí,https://www.wikidata.org/entity/Q943948,7507
07057,Santanyí,https://www.wikidata.org/entity/Q983633,12342
07058_AM,Selva,https://www.wikidata.org/entity/Q984496,6558
07059,Ses Salines,https://www.wikidata.org/entity/Q783498,5010
07060,Sineu,https://www.wikidata.org/entity/Q943922,4122
07061,Sóller,https://www.wikidata.org/entity/Q832991,13491
07062,Son Servera,https://www.wikidata.org/entity/Q610838,11835
07064,Es Castell,https://www.wikidata.org/entity/Q941533,7530
07065,Vilafranca de Bonany,https://www.wikidata.org/entity/Q975679,3558
08001,Abrera,https://www.wikidata.org/entity/Q15593,12620
08003,Alella,https://www.wikidata.org/entity/Q12034,9954
08006,Arenys de Mar,https://www.wikidata.org/entity/Q12110,15942
08007,Arenys de Munt,https://www.wikidata.org/entity/Q12101,9191
08009,Argentona,https://www.wikidata.org/entity/Q11539,12629
08010_AM,Artés,https://www.wikidata.org/entity/Q16677,8068
08014,Aiguafreda,https://www.wikidata.org/entity/Q15389,2556
08015,Badalona,https://www.wikidata.org/entity/Q15468,223006
08018_AM,Balsareny,https://www.wikidata.org/entity/Q16679,4698
08019,Barcelona,https://www.wikidata.org/entity/Q1492,1636732
08020,Begues,https://www.wikidata.org/entity/Q15596,7356
08022,Berga,https://www.wikidata.org/entity/Q15487,16682
08023,Bigues i Riells del Fai,https://www.wikidata.org/entity/Q15398,9542
08029,Cabrera de Mar,https://www.wikidata.org/entity/Q12824,4787
08030,Cabrils,https://www.wikidata.org/entity/Q12083,7567
08031,Calaf,https://www.wikidata.org/entity/Q15940,3597
08032,Caldes d'Estrac,https://www.wikidata.org/entity/Q12102,3097
08033,Caldes de Montbui,https://www.wikidata.org/entity/Q15400,17797
08034_AM,Calders,https://www.wikidata.org/entity/Q16680,3913
08035,Calella,https://www.wikidata.org/entity/Q12540,19236
08037_AM,Calldetenes,https://www.wikidata.org/entity/Q13774,4773
08038_AM,Callús,https://www.wikidata.org/entity/Q16682,3593
08040,Canet de Mar,https://www.wikidata.org/entity/Q12114,14810
08041,Canovelles,https://www.wikidata.org/entity/Q15402,16872
08042,Cànoves i Samalús,https://www.wikidata.org/entity/Q15403,3219
08043,Canyelles,https://www.wikidata.org/entity/Q15559,4886
08044_AM,Capellades,https://www.wikidata.org/entity/Q15942,6689
08046,Cardedeu,https://www.wikidata.org/entity/Q15406,18609
08047_AM,Cardona,https://www.wikidata.org/entity/Q16683,5207
08051,Castellar del Vallès,https://www.wikidata.org/entity/Q13918,24659
08053,Castellbell i el Vilar,https://www.wikidata.org/entity/Q16684,3853
08054,Castellbisbal,https://www.wikidata.org/entity/Q13921,12610
08056,Castelldefels,https://www.wikidata.org/entity/Q15597,67226
08064,Castellterçol,https://www.wikidata.org/entity/Q15408,2632
08067,Centelles,https://www.wikidata.org/entity/Q13773,7595
08068,Cervelló,https://www.wikidata.org/entity/Q15599,9233
08069,Collbató,https://www.wikidata.org/entity/Q15600,4655
08072,Corbera de Llobregat,https://www.wikidata.org/entity/Q15601,15017
08073,Cornellà de Llobregat,https://www.wikidata.org/entity/Q15602,89300
08074,Cubelles,https://www.wikidata.org/entity/Q15558,16051
08075,Dosrius,https://www.wikidata.org/entity/Q11968,5685
08076,Esparreguera,https://www.wikidata.org/entity/Q15620,22358
08077,Esplugues de Llobregat,https://www.wikidata.org/entity/Q15621,46777
08085_AM,Font-rubí,https://www.wikidata.org/entity/Q984398,5039
08086,Les Franqueses del Vallès,https://www.wikidata.org/entity/Q15412,20351
08088,La Garriga,https://www.wikidata.org/entity/Q15415,16733
08091_AM,Gelida,https://www.wikidata.org/entity/Q763729,9719
08092,Gironella,https://www.wikidata.org/entity/Q15509,4916
08094_AM,"Granada, La",https://www.wikidata.org/entity/Q1228808,5290
08096,Granollers,https://www.wikidata.org/entity/Q15420,62475
08097_AM,Gualba,https://www.wikidata.org/entity/Q15421,3229
08098_AM,Sant Salvador de Guardiola,https://www.wikidata.org/entity/Q16733,5422
08100,Gurb,https://www.wikidata.org/entity/Q13783,2705
08101,L'Hospitalet de Llobregat,https://www.wikidata.org/entity/Q15470,264657
08102,Igualada,https://www.wikidata.org/entity/Q15950,40875
08105,La Llagosta,https://www.wikidata.org/entity/Q15422,13259
08106,Llinars del Vallès,https://www.wikidata.org/entity/Q15423,10116
08107,Lliçà d'Amunt,https://www.wikidata.org/entity/Q15425,15673
08108,Lliçà de Vall,https://www.wikidata.org/entity/Q15428,6580
08110,Malgrat de Mar,https://www.wikidata.org/entity/Q12590,18950
08112,Manlleu,https://www.wikidata.org/entity/Q13804,20804
08113,Manresa,https://www.wikidata.org/entity/Q16697,78192
08114,Martorell,https://www.wikidata.org/entity/Q15623,28667
08115_AM,Martorelles,https://www.wikidata.org/entity/Q15429,5705
08117,Les Masies de Voltregà,https://www.wikidata.org/entity/Q13801,3178
08118,El Masnou,https://www.wikidata.org/entity/Q12039,23848
08119,Masquefa,https://www.wikidata.org/entity/Q15954,9623
08120,Matadepera,https://www.wikidata.org/entity/Q13929,9672
08121,Mataró,https://www.wikidata.org/entity/Q11492,129120
08122_AM,Mediona,https://www.wikidata.org/entity/Q686790,6307
08123,Molins de Rei,https://www.wikidata.org/entity/Q15624,26104
08124,Mollet del Vallès,https://www.wikidata.org/entity/Q15430,51151
08125,Montcada i Reixac,https://www.wikidata.org/entity/Q13927,36794
08126,Montgat,https://www.wikidata.org/entity/Q12022,12260
08127_AM,Monistrol de Montserrat,https://www.wikidata.org/entity/Q16704,3449
08135,Montmeló,https://www.wikidata.org/entity/Q15431,8798
08136,Montornès del Vallès,https://www.wikidata.org/entity/Q15433,16804
08138,MoiÍ,https://www.wikidata.org/entity/Q43619,6474
08140,Navarcles,https://www.wikidata.org/entity/Q16723,6068
08141,Navàs,https://www.wikidata.org/entity/Q16724,5973
08143,Òdena,https://www.wikidata.org/entity/Q15957,3681
08145_AM,Olèrdola,https://www.wikidata.org/entity/Q1228441,6299
08147,Olesa de Montserrat,https://www.wikidata.org/entity/Q15626,24132
08148,Olivella,https://www.wikidata.org/entity/Q15557,4127
08149_AM,Olost,https://www.wikidata.org/entity/Q13798,3125
08155,Palafolls,https://www.wikidata.org/entity/Q12595,9646
08156,Palau-solità i Plegamans,https://www.wikidata.org/entity/Q13926,14917
08158,El Papiol,https://www.wikidata.org/entity/Q15631,4232
08159,Parets del Vallès,https://www.wikidata.org/entity/Q15437,18907
08161,Piera,https://www.wikidata.org/entity/Q15959,16411
08162_AM,Els Hostalets de Pierola,https://www.wikidata.org/entity/Q15949,5241
08163,Pineda de Mar,https://www.wikidata.org/entity/Q12552,27974
08167,PolinyÍ,https://www.wikidata.org/entity/Q984585,8494
08169,El Prat de Llobregat,https://www.wikidata.org/entity/Q15619,65532
08170_AM,Els Prats de Rei,https://www.wikidata.org/entity/Q15961,4015
08171,Prats de Lluçanès,https://www.wikidata.org/entity/Q13814,2634
08172,Premià de Mar,https://www.wikidata.org/entity/Q12046,28523
08175_AM,Puig-reig,https://www.wikidata.org/entity/Q15534,5822
08180,Ripollet,https://www.wikidata.org/entity/Q13933,39139
08181,La Roca del Vallès,https://www.wikidata.org/entity/Q15439,10676
08182,El Pont de Vilomara i Rocafort,https://www.wikidata.org/entity/Q16726,4016
08183,Roda de Ter,https://www.wikidata.org/entity/Q13815,6449
08184,Rubí,https://www.wikidata.org/entity/Q13934,78549
08187,Sabadell,https://www.wikidata.org/entity/Q12258,216204
08191,Sallent,https://www.wikidata.org/entity/Q16728,6717
08192,Santpedor,https://www.wikidata.org/entity/Q16736,7566
